Depth ,Sonic TT,Gammma R,Neutron,Density,Vshale,Porosity,Thermal Facies


2763,77.9586,67.076,0.1694,2.3964,33.2316261,20.94,kf2
2763,79.9842,67.676,0.1694,2.3838,33.95810631,20.94,kf2
2763,74.2692,70.302,0.1716,2.4196,37.137668,21.16,kf2
2764,80.1006,69.052,0.1686,2.379,35.62416757,20.86,kf2
2764,79.094,72.08,0.1722,2.3898,39.290471,21.22,kf2
2764,79.008,80.736,0.1874,2.4238,49.77115874,22.74,kf3
2764,79.733,92.474,0.2102,2.4634,63.98353312,25.02,kf4
2765,82.7462,101.574,0.2344,2.4858,75.0018162,27.44,kf4
2765,81.3526,101.98,0.2294,2.4866,75.49340114,26.94,kf4
2765,82.368,105.332,0.2378,2.4934,79.55200387,27.78,kf4
2766,82.4978,51.552,0.184,2.2936,14.43516164,22.4,kf1
2766,82.3678,62.582,0.1938,2.3426,27.79028938,23.38,kf2
2766,81.494,77.182,0.2076,2.4038,45.46797433,24.76,kf3
2766,81.803,91.308,0.2224,2.4564,62.57173992,26.24,kf4
2767,82.5408,45.418,0.184,2.261,7.008112362,22.4,kf1
2767,83.2792,46.328,0.188,2.26,8.109940671,22.8,kf1
2767,82.44,46.474,0.1812,2.2698,8.28671752,22.12,kf1
2768,83.6074,47.766,0.1908,2.262,9.851071558,23.08,kf1
2768,83.8232,48.21,0.1902,2.271,10.38866691,23.02,kf1
2768,83.833,48.344,0.1864,2.2826,10.55091415,22.64,kf1
2768,83.3794,49.518,0.1814,2.2938,11.97239375,22.14,kf1
2769,83.0224,50.808,0.1792,2.3036,13.53432619,21.92,kf1
2769,83.714,50.864,0.1802,2.3058,13.60213101,22.02,kf1
2769,85.6528,51.536,0.1834,2.2994,14.41578884,22.34,kf1
2769,86.3654,56.078,0.1892,2.298,19.91524398,22.92,kf1
2770,85.0146,63.564,0.1992,2.314,28.97929531,23.92,kf2
2770,82.4104,66.434,0.2138,2.354,32.45429229,25.38,kf2
2770,83.1118,67.622,0.21,2.3396,33.89272309,25,kf2
2771,82.089,65.8,0.21,2.3584,31.68664487,25,kf2
2771,82.2306,70.848,0.2082,2.3654,37.79876498,24.82,kf2
2771,82.8952,76.852,0.2114,2.3846,45.06841022,25.14,kf3
2771,83.5776,77.646,0.2112,2.3994,46.02978569,25.12,kf3
2772,81.4962,68.164,0.1908,2.3666,34.54897687,23.08,kf2
2772,80.1004,68.524,0.187,2.3558,34.984865,22.7,kf2
2772,82.8752,71.7,0.2018,2.3902,38.83036687,24.18,kf2
2773,80.8048,50.284,0.1938,2.3122,12.89986681,23.38,kf1
2773,80.8508,54.444,0.195,2.3346,17.93679622,23.5,kf1
2773,80.0378,61.104,0.1946,2.3542,26.00072648,23.46,kf2
2773,79.4566,66.95,0.1906,2.3582,33.07906526,23.06,kf2
2774,80.377,48.484,0.1914,2.3062,10.7204262,23.14,kf1
2774,80.0978,49.774,0.188,2.312,12.28235864,22.8,kf1
2774,79.7574,53.244,0.1848,2.3272,16.48383582,22.48,kf1
2775,79.292,55.634,0.1844,2.3486,19.37764863,22.44,kf1
2775,79.2818,56.464,0.183,2.3444,20.38261291,22.3,kf2
